epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,219.725,0.86323,3.96601,0.9797,0.00333,1,0.00428,0.00287,1.21346,3.77315,1.22435,0.00124045,0.000413482,0.00124045,0.000413482,0.00124045,0.000413482,0.00124045,0.000413482
31,229.271,0.81687,3.93187,0.98292,0.00333,1,0.00522,0.00365,1.18247,3.75751,1.20039,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218,0.0012654,0.0004218
32,231.571,0.93343,3.72511,1.02485,0.00333,1,0.00522,0.00365,1.18247,3.75751,1.20039,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722,0.00128917,0.000429722
33,240.706,0.6482,3.95438,0.91664,0.00333,1,0.00614,0.00427,1.1612,3.76138,1.18417,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248,0.00131174,0.000437248
34,242.962,0.78789,3.74533,0.99118,0.00333,1,0.00614,0.00427,1.1612,3.76138,1.18417,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378,0.00133313,0.000444378
35,251.961,0.8595,3.94848,0.95026,0.00333,1,0.00737,0.0051,1.13081,3.74511,1.16545,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112,0.00135334,0.000451112
36,254.237,1.06518,3.63003,1.04548,0.00333,1,0.00737,0.0051,1.13081,3.74511,1.16545,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745,0.00137235,0.00045745
37,263.47,0.78808,3.69562,0.9677,0.00333,1,0.00843,0.00641,1.09547,3.70452,1.14378,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392,0.00139018,0.000463392
38,265.827,0.87319,3.66432,0.94022,0.00333,1,0.00843,0.00641,1.09547,3.70452,1.14378,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938,0.00140681,0.000468938
39,274.702,0.70968,3.61221,0.90925,0.00333,1,0.00896,0.00681,1.04303,3.65822,1.12336,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088,0.00142226,0.000474088
40,276.953,0.63442,3.87373,0.88675,0.00333,1,0.00896,0.00681,1.04303,3.65822,1.12336,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842,0.00143653,0.000478842
41,285.753,0.69138,3.37063,0.91968,0.00333,1,0.0093,0.00706,0.95671,3.6393,1.11921,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832,0.0014496,0.0004832
42,288.121,0.76805,3.46967,0.97572,0.00333,1,0.0093,0.00706,0.95671,3.6393,1.11921,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162,0.00146149,0.000487162
43,296.812,0.82375,3.30364,0.93883,0.00333,1,0.00952,0.00722,0.9116,3.60213,1.10175,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728,0.00147218,0.000490728
44,299.159,0.73258,3.24886,0.88651,0.00333,1,0.00952,0.00722,0.9116,3.60213,1.10175,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898,0.00148169,0.000493898
45,308.007,0.68795,3.2021,0.99812,0.00333,1,0.00957,0.00726,0.88393,3.57116,1.08204,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672,0.00149002,0.000496672
46,310.288,0.81983,3.097,0.88235,0.00333,1,0.00957,0.00726,0.88393,3.57116,1.08204,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905,0.00149715,0.00049905
47,319.118,0.72217,3.00974,0.93247,0.00333,1,0.00943,0.00716,0.85213,3.53708,1.06896,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032,0.0015031,0.000501032
